ID,AssetNumber,Name,Description,SerialNumber,Model,Manufacturer,PurchaseDate,PurchaseCost,WarrantyExpiry,Status,Condition,category_ID,vendor_ID,assignedTo_ID,location_ID
b1000000-0000-0000-0000-000000000001,AST-001,Dell Laptop XPS 15,High-performance laptop for developers,SN-DELL-001,XPS 15 9530,Dell,2023-03-15,1850.00,2026-03-15,Assigned,Good,a0000000-0000-0000-0000-000000000001,50000000-0000-0000-0000-000000000001,e0000000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000002
b1000000-0000-0000-0000-000000000002,AST-002,Apple MacBook Pro 14,MacBook for IT manager,SN-APPLE-001,MacBook Pro 14 M3,Apple,2023-06-01,2499.00,2026-06-01,Assigned,Excellent,a0000000-0000-0000-0000-000000000001,50000000-0000-0000-0000-000000000002,e0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000001
b1000000-0000-0000-0000-000000000003,AST-003,Lenovo ThinkPad T14,Standard business laptop,SN-LENOVO-001,ThinkPad T14 Gen 4,Lenovo,2022-11-10,1200.00,2025-11-10,Assigned,Good,a0000000-0000-0000-0000-000000000001,50000000-0000-0000-0000-000000000003,e0000000-0000-0000-0000-000000000003,c0000000-0000-0000-0000-000000000001
b1000000-0000-0000-0000-000000000004,AST-004,Dell Monitor 27,27-inch 4K display,SN-DELL-MON-001,U2723D,Dell,2022-05-20,650.00,2027-05-20,Assigned,Good,a0000000-0000-0000-0000-000000000004,50000000-0000-0000-0000-000000000001,e0000000-0000-0000-0000-000000000002,c0000000-0000-0000-0000-000000000002
b1000000-0000-0000-0000-000000000005,AST-005,HP LaserJet Pro,Office printer for floor 1,SN-HP-PRN-001,LaserJet Pro M404dn,HP,2021-09-01,399.00,2024-09-01,Available,Fair,a0000000-0000-0000-0000-000000000006,50000000-0000-0000-0000-000000000004,,,c0000000-0000-0000-0000-000000000001
b1000000-0000-0000-0000-000000000006,AST-006,Cisco Network Switch,24-port managed switch,SN-CISCO-001,Catalyst 2960-X,Cisco,2020-04-15,1100.00,2025-04-15,Available,Good,a0000000-0000-0000-0000-000000000008,50000000-0000-0000-0000-000000000005,,,c0000000-0000-0000-0000-000000000003
b1000000-0000-0000-0000-000000000007,AST-007,Lenovo ThinkPad T14 (spare),Spare laptop in storage,SN-LENOVO-002,ThinkPad T14 Gen 4,Lenovo,2022-11-10,1200.00,2025-11-10,Available,Good,a0000000-0000-0000-0000-000000000001,50000000-0000-0000-0000-000000000003,,,c0000000-0000-0000-0000-000000000001
b1000000-0000-0000-0000-000000000008,AST-008,Apple iPhone 14 Pro,Company mobile phone,SN-APPLE-MOB-001,iPhone 14 Pro,Apple,2023-01-10,1199.00,2025-01-10,Assigned,Excellent,a0000000-0000-0000-0000-000000000003,50000000-0000-0000-0000-000000000002,e0000000-0000-0000-0000-000000000007,c0000000-0000-0000-0000-000000000004
b1000000-0000-0000-0000-000000000009,AST-009,Dell Docking Station,USB-C docking station,SN-DELL-DOCK-001,WD22TB4,Dell,2023-03-15,280.00,2026-03-15,Assigned,Good,a0000000-0000-0000-0000-000000000005,50000000-0000-0000-0000-000000000001,e0000000-0000-0000-0000-000000000006,c0000000-0000-0000-0000-000000000003
b1000000-0000-0000-0000-000000000010,AST-010,Dell Server R750,Rack server in data centre,SN-DELL-SRV-001,PowerEdge R750,Dell,2021-07-20,8500.00,2026-07-20,Maintenance,Good,a0000000-0000-0000-0000-000000000007,50000000-0000-0000-0000-000000000001,,,c0000000-0000-0000-0000-000000000003
